cv_path,nct_id,title,sponsor,phase,expected_answer
2ac67910-1daf-40a3-88e9-b8e7edf6c80f.pdf,NCT04306315,Adjustable Brodalumab Dosage Regimen Compared With Standard Brodalumab Treatment for 52 Weeks in Subjects With Moderate-to-severe Plaque Psoriasis and ≥120 kg Body Weight,LEO Pharma,Phase 4,false
62254057-cde9-4110-9af2-408df18ee777.pdf,NCT04320342,"A Phase III, 52-week, Multinational, Multicenter, Randomized, Double-blind, 2-arm Parallel Group Study Comparing Efficacy, Safety and Tolerability of the Fixed Dose Triple Combination of Beclomethasone Dipropionate Plus Formoterol Fumarate Plus Glycopyrronium Bromide (CHF 5993) With the Fixed Dose Dual Combination of Beclomethasone Dipropionate Plus Formoterol Fumarate (CHF 1535), Both Administered Via pMDI in Subjects With Chronic Obstructive Pulmonary Disease (COPD)",Chiesi Farmaceutici S.p.A.,Phase 3,true
ea5c7edf-3f79-4273-aefa-8d1e7271ac2b.pdf,NCT03587805,"An Open-label, Single-arm, Multi-centre, Long-term Extension Trial to Evaluate the Safety and Efficacy of Tralokinumab in Subjects With Atopic Dermatitis Who Participated in Previous Tralokinumab Clinical Trials",LEO Pharma,Phase 3,false
4e4613b5-ff53-497a-ba88-1273febecdae.pdf,NCT04456673,"A Randomized, Double-blind, Placebo-controlled, Parallel-group, 52-week Pivotal Study to Assess the Efficacy, Safety, and Tolerability of Dupilumab in Patients With Moderate-to-severe Chronic Obstructive Pulmonary Disease (COPD) With Type 2 Inflammation",Sanofi,Phase 3,true
"7e0f4acf-33c4-4fd2-bfb3-e9e2b188ef8d-CV Veazey, Lauren Flittner.pdf",NCT01970878,"A 28-Week, Multi-Center, Randomized, Double Blind, Parallel-Group, Active-Controlled Safety Extension Study to Evaluate the Safety and Efficacy of PT003, PT001, and PT005 in Subjects With Moderate to Very Severe COPD, With Spiriva® Handihaler® as an Active Control","Pearl Therapeutics, Inc.",Phase 3,false
7a24f583-7915-4a79-9489-910f338e38ec.pdf,NCT04265534,"A Phase 2 Randomized, Multicenter, Double-Blind Study of the Glutaminase Inhibitor Telaglenastat With Pembrolizumab and Chemotherapy Versus Placebo With Pembrolizumab and Chemotherapy in First-Line, Metastatic KEAP1/NRF2-Mutated, Nonsquamous, Non-Small Cell Lung Cancer (NSCLC)",,Phase 2,true
cc17194c-12db-42b4-b4d5-611cd0e4307c.pdf,NCT05369403,"An Open-Label, Study to Evaluate the Safety and Efficacy of Lebrikizumab in Adult and Adolescent Participants With Moderate-to-Severe Atopic Dermatitis Previously Treated With Dupilumab",Eli Lilly and Company,Phase 3,false
c9002c2a-c9f4-4aef-99ab-b5adc59acd79.pdf,NCT02609776,"A Phase 1, First-in-Human, Open-Label, Dose Escalation Study of JNJ-61186372, a Human Bispecific EGFR and cMet Antibody, in Subjects With Advanced Non-Small Cell Lung Cancer","Janssen Research & Development, LLC",Phase 1,false
af634d02-5841-4efa-a1ab-32d88c2213ae.pdf,NCT06039449,A Study to Evaluate the Efficacy and Safety of VYD222 for Prevention of COVID-19 (CANOPY),"Invivyd, Inc.",Phase 3,true
3977fd35-de78-4553-ab80-38d5d94fc5ad.pdf,NCT03401229,"A Multicenter, Randomized, Double-Blind, Parallel-Group, Placebo-Controlled Phase 3 Efficacy and Safety Study Of Benralizumab in Patients With Severe Nasal Polyposis",AstraZeneca,Phase 3,true
447f4487-efaa-4d5b-8da6-8c521cb4373a-Dr. Ng CV Feb 2020.pdf,NCT02943577,"A Randomized, Double-blind, Placebo-controlled, Multicenter Study of Rapastinel as Adjunctive Therapy in Major Depressive Disorder","Naurex, Inc, an affiliate of Allergan plc",Phase 3,true
3afddebc-f8ea-4b43-9758-2d68474df250-CV_Dr-Saad_Dearborn.3 (1).pdf,NCT04427501,"A Randomized, Double-blind, Placebo-Controlled, Phase 2/3 Study to Evaluate the Efficacy and Safety of LY3819253 and LY3832479 in Participants With Mild to Moderate COVID-19 Illness",Eli Lilly and Company,Phase 2,true
da5d3f72-05ea-49aa-8780-3da3aa14d830.pdf,NCT01949311,An Open-label Study of Dupilumab in Patients With Atopic Dermatitis Who Participated in Previous Dupilumab Clinical Trials,Regeneron Pharmaceuticals,Phase 3,false
edb216d7-2e2b-4bc6-b412-fcfcce1634cf-CV - Dr. Albizu.pdf,NCT05822830,"A Phase 3b, Randomized Controlled Study to Evaluate the Efficacy and Safety of Tirzepatide Compared to Semaglutide 2.4 mg in Adults Who Have Obesity or Overweight With Weight Related Comorbidities",Eli Lilly and Company,Phase 3,false
0acc890d-b665-459e-b787-c78307566d5a-CV Dr OROZCO ING.pdf,NCT02065791,"A Randomized, Double-blind, Event-driven, Placebo-controlled, Multicenter Study of the Effects of Canagliflozin on Renal and Cardiovascular Outcomes in Subjects With Type 2 Diabetes Mellitus and Diabetic Nephropathy","Janssen Research & Development, LLC",Phase 3,false
b1ea86dd-7dbc-4afe-98d5-878c03cd4880.pdf,NCT01659138,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter Study Evaluating Efficacy and Safety of SAR339658 in Patients With Active Moderate to Severe Ulcerative Colitis (UC)",Sanofi,Phase 2,false
5a0ca9d4-ce4b-4ff8-9e7d-1bf389f95f08-Cv Elias Pedro Carlos.pdf,NCT04570657,"A Phase II, Randomised, Double-blind, Placebo-controlled Study to Assess the Efficacy and Safety of MEDI3506 in Adult Participants With Uncontrolled Moderate-to-severe Asthma",AstraZeneca,Phase 2,false
1486c0de-ab32-473e-ba4b-f97ba898f784-CV DARIO ALTAMIRANO D.O 12-2021.pdf,NCT04835441,"A Randomized, Double-blind, Placebo-controlled Study of ALPN-101 in Systemic Lupus Erythematosus","Alpine Immune Sciences, Inc.",Phase 2,false
b96aa2f3-af33-4a2d-ad3c-72e8577924c9.pdf,NCT05889182,"A Phase 3, Randomized, Placebo-Controlled, Double-Blind Study to Evaluate Efficacy and Safety of Upadacitinib in Adult and Adolescent Subjects With Moderate to Severe Hidradenitis Suppurativa Who Have Failed Anti-TNF Therapy",AbbVie,Phase 3,false
05f69bd6-7d19-4b54-96b3-6387924b81e6.pdf,NCT05841966,Surgeon-performed Intraoperative Transoral Ultrasound in Patients With Suspected Head and Neck Squamous Cell Carcinoma of Unknown Primary: a Prospective Diagnostic Accuracy Study,"Rigshospitalet, Denmark",Not Applicable,false
86eae9b5-f447-40d2-8283-dd445bd09b84.pdf,NCT03131687,A Phase 2 Study of Once-Weekly LY3298176 Compared With Placebo and Dulaglutide in Patients With Type 2 Diabetes Mellitus,Eli Lilly and Company,Phase 2,true
2f689f3a-cd58-4e03-aaac-c2c114e58ba0.pdf,NCT01984684,"A Phase 3, Multicenter, Randomized, Double-blind, Active Controlled Study to Evaluate the Efficacy + Safety of IV + Oral Delafloxacin Compared With Vancomycin + Aztreonam in Patients With Acute Bacterial Skin and Skin Structure Infections (ABSSSI)","Melinta Therapeutics, Inc.",Phase 3,false
"9df45623-ae49-4011-bd04-1fb34c3c3878-CV - Mary Martin, Principal Investigator.pdf",NCT04427501,"A Randomized, Double-blind, Placebo-Controlled, Phase 2/3 Study to Evaluate the Efficacy and Safety of LY3819253 and LY3832479 in Participants With Mild to Moderate COVID-19 Illness",Eli Lilly and Company,Phase 2,false
